Transcript	circles	same_start	same_end	overlapping	within
NM_024947	3:170122591-170129552,3:170136419-170149244	.	.	.	.
NM_003316	21:37108392-37153277	.	.	.	.
NM_153615	22:23683725-23695517	.	.	.	.
NM_004856	15:69436138-69436722	.	.	.	.
NM_004690	6:149676260-149680457	.	.	.	.
NM_198433	20:56381433-56386533	.	.	.	.
NM_004696	1:110345539-110372346	.	.	.	.
NM_198435	20:56381433-56386533	.	.	.	.
NM_198436	20:56381433-56386533	.	.	.	.
NM_198437	20:56381433-56386533	.	.	.	.
NM_001282919	8:47279862-47294030,8:47396376-47407961	.	.	.	.
NM_000194	X:134473359-134493590	.	.	.	.
NM_001282916	8:47279862-47294030,8:47396376-47407961	.	.	.	.
NM_145021	10:45457785-45464327	.	.	.	.
NM_013313	22:21700976-21710908	.	.	.	.
NM_003400	2:61522611-61526521,2:61522611-61533903	2:61522611-61526521|2:61522611-61533903,	.	.	.
NM_006699	1:117402186-117405645,1:117402186-117414831,1:117402186-117420649,1:117402186-117442325,1:117460489-117502970	1:117402186-117420649|1:117402186-117405645|1:117402186-117414831|1:117402186-117442325,	.	.	.
NM_020772	17:29285992-29287716	.	.	.	.
NR_121183	9:74996447-75017448	.	.	.	.
NM_030625	10:68644698-68647005,10:68648155-68673487	.	.	.	.
NM_001001484	10:16484337-16486617	.	.	.	.
NM_001252156	5:154898440-154936022	.	.	.	.
NM_002687	14:39179091-39179462	.	.	.	.
NM_006346	13:72835243-72931267	.	.	.	.
NM_001243137	15:85113873-85121014	.	.	.	.
NM_024546	13:78635110-78644997	.	.	.	.
NM_001113239	7:139715932-139717015	.	.	.	.
NM_001039649	13:19851355-19852190	.	.	.	.
NM_001007169	9:111527268-111534353	.	.	.	.
NR_110803	17:28921688-28927063	.	.	.	.
NM_002914	7:74239938-74249220	.	.	.	.
NM_001144955	15:49625113-49634794	.	.	.	.
NM_005246	5:108867767-108883518	.	.	.	.
NM_005245	4:186706563-186709845	.	.	.	.
NM_002265	17:47663089-47668410	.	.	.	.
NM_001172509	2:199368605-199433514	.	.	.	.
NM_032142	18:12999421-13019206,18:12999421-13030608,18:12999421-13042334,18:12999421-13059312	18:12999421-13030608|18:12999421-13059312|18:12999421-13019206|18:12999421-13042334,	.	.	.
NM_032148	12:104927973-104928694	.	.	.	.
NM_003629	1:46055795-46080750,1:46061929-46080750	.	1:46061929-46080750|1:46055795-46080750,	.	.
NM_001288836	2:58159650-58165874	.	.	.	.
NM_001288837	2:58159650-58165874	.	.	.	.
NM_001288838	2:58159650-58165874	.	.	.	.
NM_001288839	2:58159650-58165874	.	.	.	.
NM_018475	4:55411614-55417985	.	.	.	.
NM_207113	7:140334634-140337349	.	.	.	.
NR_027948	12:1027748-1028572,12:1180540-1190052,12:1180561-1190052,12:1236769-1290012,12:1236769-1319288,12:1236769-1371977,12:1236769-1408247	12:1236769-1319288|12:1236769-1408247|12:1236769-1371977|12:1236769-1290012,	12:1180540-1190052|12:1180561-1190052,	.	.
NR_027949	12:1027748-1028572,12:1180540-1190052,12:1180561-1190052,12:1236769-1290012,12:1236769-1319288,12:1236769-1371977,12:1236769-1408247	12:1236769-1319288|12:1236769-1408247|12:1236769-1371977|12:1236769-1290012,	12:1180540-1190052|12:1180561-1190052,	.	.
NM_033632	4:152411303-152412529	.	.	.	.
NM_015224	3:56660731-56673725	.	.	.	.
NR_033200	12:50427762-50437838,12:50427762-50441643	12:50427762-50441643|12:50427762-50437838,	.	.	.
NM_015226	16:10969161-10982991,16:11020193-11061022	.	.	.	.
NM_015559	18:44701175-44701832	.	.	.	.
NM_152233	14:34586230-34609742	.	.	.	.
NM_001278610	20:43686852-43700044	.	.	.	.
NM_001271885	15:67226901-67236820,15:67231814-67236820	.	15:67226901-67236820|15:67231814-67236820,	.	.
NM_002466	20:43686852-43700044	.	.	.	.
NM_001271886	15:67226901-67236820,15:67231814-67236820	.	15:67226901-67236820|15:67231814-67236820,	.	.
NM_031966	5:69174877-69175537	.	.	.	.
NM_001172218	1:41070595-41075451,1:41113283-41143112	.	.	.	.
NM_001172219	1:41070595-41075451,1:41113283-41143112	.	.	.	.
NM_015310	8:18765449-18804898,8:18799295-18804898,8:18867674-18872733	.	8:18799295-18804898|8:18765449-18804898,	.	.
NM_012338	7:120806549-120840109	.	.	.	.
NM_015135	7:135577796-135593192	.	.	.	.
NM_015132	7:17868407-17897446	.	.	.	.
NM_001190440	17:16101250-16101805	.	.	.	.
NM_001198838	20:35653528-35659014	.	.	.	.
NR_132119	1:223954477-223962273	.	.	.	.
NM_018092	16:47109483-47129364,16:47109483-47132025	16:47109483-47132025|16:47109483-47129364,	.	.	.
NM_018098	3:172760161-172783909	.	.	.	.
NM_170679	5:134157707-134174022	.	.	.	.
NM_001304437	6:82957312-83044659	.	.	.	.
NM_015040	2:208285726-208288818	.	.	.	.
NM_015042	15:64499293-64500166	.	.	.	.
NM_001282548	2:214752447-214781509	.	.	.	.
NM_001282543	2:214752447-214781509,2:214767482-214781509	.	2:214767482-214781509|2:214752447-214781509,	.	.
NM_001282545	2:214752447-214781509	.	.	.	.
NM_001261838	10:16484337-16486617	.	.	.	.
NM_001261837	10:16484337-16486617	.	.	.	.
NM_001261836	10:16484337-16486617	.	.	.	.
NM_004444	7:100812747-100813208	.	.	.	.
NM_207660	14:88575840-88610940	.	.	.	.
NM_207661	14:88575840-88610940	.	.	.	.
NM_207662	14:88575840-88610940	.	.	.	.
NM_201439	12:42374863-42398994	.	.	.	.
NM_201438	12:42374863-42398994	.	.	.	.
NM_178043	4:128074460-128077962	.	.	.	.
NM_001301136	15:41356039-41377304	.	.	.	.
NM_001142684	13:19851355-19852190	.	.	.	.
NM_001616	2:147896301-147899898	.	.	.	.
NM_001206846	1:197117789-197124955	.	.	.	.
NM_020781	7:149153945-149154340	.	.	.	.
NM_001142443	15:74655733-74675142,15:74671455-74675142	.	15:74655733-74675142|15:74671455-74675142,	.	.
NM_001142444	15:74655733-74675142,15:74671455-74675142	.	15:74655733-74675142|15:74671455-74675142,	.	.
NM_133259	2:43973607-43982434	.	.	.	.
NM_006200	9:75932379-75986245	.	.	.	.
NM_007331	4:1900626-1904378,4:1900626-1918623,4:1900626-1930770,4:1900626-1935262,4:1900626-1939778	4:1900626-1939778|4:1900626-1918623|4:1900626-1935262|4:1900626-1930770|4:1900626-1904378,	.	.	.
NM_001135110	16:4441375-4455780	.	.	.	.
NM_025151	8:37870420-37877551	.	.	.	.
NM_001276457	4:139060324-139073567	.	.	.	.
NM_198449	5:50399107-50411383	.	.	.	.
NM_173497	10:91425281-91462184	.	.	.	.
NM_183404	20:37066724-37068186	.	.	.	.
NR_104291	10:91425281-91462184	.	.	.	.
NM_001278580	2:147896301-147899898	.	.	.	.
NM_003434	20:18297985-18306393	.	.	.	.
NM_003432	5:43161249-43161931	.	.	.	.
NM_003431	1:247155566-247159813,1:247156406-247159813	.	1:247156406-247159813|1:247155566-247159813,	.	.
NM_003439	7:100023419-100024307	.	.	.	.
NM_079837	16:87975048-87984259	.	.	.	.
NM_006595	11:43326507-43335994	.	.	.	.
NM_006379	7:80789306-80810701	.	.	.	.
NR_026718	17:18670867-18672302	.	.	.	.
NM_001278927	5:65567513-65572286	.	.	.	.
NM_001278926	5:65567513-65572286	.	.	.	.
NM_003502	16:304304-314683,16:346148-347106	.	.	.	.
NM_001278929	5:65567513-65572286	.	.	.	.
NM_001159280	15:43335696-43349045	.	.	.	.
NM_005908	4:102689574-102726683,4:102722871-102730736	.	.	4:102722871-102730736|4:102689574-102726683,	.
NM_001291858	15:98707562-98708107	.	.	.	.
NM_152420	9:74996447-75017448	.	.	.	.
NM_001286278	13:112516440-112527484	.	.	.	.
NM_002270	5:72855774-72875737	.	.	.	.
NM_001172517	2:199368605-199433514	.	.	.	.
NM_001286277	13:112516440-112527484	.	.	.	.
NM_080841	20:2947982-2965202	.	.	.	.
NM_080840	20:2947982-2965202	.	.	.	.
NM_001029880	10:7243558-7285954,10:7276892-7285954,10:7363878-7381949	.	10:7276892-7285954|10:7243558-7285954,	.	.
NM_181460	2:222220140-222232283	.	.	.	.
NM_001100399	4:39913611-39925933	.	.	.	.
NM_015236	4:61497187-61733554	.	.	.	.
NM_015542	10:11997672-12014184	.	.	.	.
NM_018318	12:28255581-28307749,12:28255581-28391411,12:28305649-28391411	12:28255581-28391411|12:28255581-28307749,	12:28255581-28391411|12:28305649-28391411,	12:28305649-28391411|12:28255581-28307749,	.
NM_015239	9:85575315-85596449,9:85575315-85633374,9:85618983-85633374	9:85575315-85596449|9:85575315-85633374,	9:85618983-85633374|9:85575315-85633374,	.	.
NM_014891	7:99397862-99404953	.	.	.	.
NM_152733	6:38577600-38598121	.	.	.	.
NM_080599	10:11997672-12014184	.	.	.	.
NM_001166017	13:21167988-21168399	.	.	.	.
NM_080601	12:112446276-112456898	.	.	.	.
NM_015308	11:47724028-47734129	.	.	.	.
NM_015306	1:55137515-55166603	.	.	.	.
NM_001017969	9:5968019-5988545	.	.	.	.
NM_018262	3:129476315-129478218	.	.	.	.
NM_001130146	12:405511-438554	.	.	.	.
NM_001130147	12:405511-438554	.	.	.	.
NM_001301701	1:44284835-44339322,1:44308310-44339316,1:44308310-44339322	1:44308310-44339316|1:44308310-44339322,	1:44284835-44339322|1:44308310-44339322,	.	1:44284835-44339322|1:44308310-44339316,
NM_001130148	12:405511-438554	.	.	.	.
NM_015120	2:73419123-73432291,2:73432198-73455295,2:73432198-73573424	2:73432198-73455295|2:73432198-73573424,	.	2:73432198-73455295|2:73432198-73573424|2:73419123-73432291,	.
NM_005722	2:65246524-65265175	.	.	.	.
NM_001031694	1:41070595-41075451,1:41113283-41143112	.	.	.	.
NM_001282997	20:18297985-18306393	.	.	.	.
NM_182896	3:93995874-94003908	.	.	.	.
NM_001009813	19:47416652-47417350	.	.	.	.
NM_170606	7:152220523-152238826,7:152309966-152315338	.	.	.	.
NM_001009814	13:41761128-41833531,13:41811225-41833531	.	13:41811225-41833531|13:41761128-41833531,	.	.
NM_001005386	2:65246524-65265175	.	.	.	.
NM_015058	13:41761128-41833531,13:41811225-41833531	.	13:41811225-41833531|13:41761128-41833531,	.	.
NM_015056	21:43686804-43688240	.	.	.	.
NM_015057	13:77243059-77264002	.	.	.	.
NM_001080398	9:111386377-111391824	.	.	.	.
NM_001377	11:103243693-103259977,11:103303093-103323990,11:103303093-103358359,11:103311878-103323990	11:103303093-103358359|11:103303093-103323990,	11:103303093-103323990|11:103311878-103323990,	.	11:103303093-103358359|11:103311878-103323990,
NR_027265	16:74451055-74459789	.	.	.	.
NM_001373	1:224952670-224968874,1:224952670-224974153,1:224952670-225007544,1:224952670-225023865,1:225038694-225043983	1:224952670-225023865|1:224952670-225007544|1:224952670-224968874|1:224952670-224974153,	.	.	.
NM_005121	17:62010550-62035608,17:62029541-62035608,17:62033787-62035608	.	17:62010550-62035608|17:62029541-62035608|17:62033787-62035608,	.	.
NM_001018113	X:14843660-14859334,X:14850505-14859334	.	X:14843660-14859334|X:14850505-14859334,	.	.
NM_001002814	8:37870420-37877551	.	.	.	.
NM_001301726	20:62852317-62852353	.	.	.	.
NM_173464	18:6237964-6312056	.	.	.	.
NM_004459	17:67945409-67975958	.	.	.	.
NM_001973	1:205598455-205623891,1:205616478-205623891	.	1:205598455-205623891|1:205616478-205623891,	.	.
NM_001304717	10:87878926-87952259	.	.	.	.
NM_012470	7:129014979-129018157	.	.	.	.
NM_001304718	10:87878926-87952259	.	.	.	.
NM_182765	10:91425281-91462184	.	.	.	.
NM_001142279	13:50927407-50949505	.	.	.	.
NM_001142274	2:121503167-121530325	.	.	.	.
NM_001278310	4:99903726-99923185	.	.	.	.
NM_001142273	2:121503167-121530325	.	.	.	.
NM_016488	12:42374863-42398994	.	.	.	.
NM_004238	2:229858772-229860531,2:229858772-229880128	2:229858772-229860531|2:229858772-229880128,	.	.	.
NM_001164537	1:231795242-231818517	.	.	.	.
NM_181050	16:304304-314683,16:346148-347106	.	.	.	.
NM_144989	1:224952670-224968874,1:224952670-224974153,1:224952670-225007544,1:224952670-225023865	1:224952670-225023865|1:224952670-225007544|1:224952670-224968874|1:224952670-224974153,	.	.	.
NM_001164538	1:231795242-231818517	.	.	.	.
NM_001164539	1:231795242-231818517	.	.	.	.
NM_001146190	18:74630967-74641122	.	.	.	.
NM_001605	16:70258980-70262524	.	.	.	.
NM_016374	1:235240313-235260752	.	.	.	.
NM_017778	8:38337305-38348215	.	.	.	.
NM_001286478	16:28723164-28735582,16:28734520-28735582	.	16:28723164-28735582|16:28734520-28735582,	.	.
NM_032832	6:149826264-149853160,6:149836085-149853160	.	6:149836085-149853160|6:149826264-149853160,	.	.
NM_001012506	3:56563684-56571302,3:56592970-56594028	.	.	.	.
NM_201515	12:42374863-42398994	.	.	.	.
NM_001031835	16:47497399-47515601	.	.	.	.
NM_199188	12:50427762-50437838,12:50427762-50441643	12:50427762-50441643|12:50427762-50437838,	.	.	.
NM_021795	1:205598455-205623891,1:205616478-205623891	.	1:205598455-205623891|1:205616478-205623891,	.	.
NM_181458	2:222220140-222232283	.	.	.	.
NM_181459	2:222220140-222232283	.	.	.	.
NM_024923	3:13352080-13354107	.	.	.	.
NM_007345	18:76849526-76851939,18:76849526-76871825	18:76849526-76851939|18:76849526-76871825,	.	.	.
NM_001242539	20:34714590-34715365	.	.	.	.
NM_001281778	20:47224317-47239138,20:47262288-47276795,20:47276314-47287284	.	.	20:47262288-47276795|20:47276314-47287284,	.
NM_001281779	20:47224317-47239138,20:47262288-47276795,20:47276314-47287284	.	.	20:47262288-47276795|20:47276314-47287284,	.
NM_001244584	7:139398599-139409654	.	.	.	.
NM_001281775	20:47224317-47239138,20:47262288-47276795,20:47276314-47287284	.	.	20:47262288-47276795|20:47276314-47287284,	.
NM_001281776	20:47224317-47239138,20:47262288-47276795,20:47276314-47287284	.	.	20:47262288-47276795|20:47276314-47287284,	.
NM_001281777	20:47224317-47239138,20:47262288-47276795,20:47276314-47287284	.	.	20:47262288-47276795|20:47276314-47287284,	.
NM_001281771	20:47224317-47239138,20:47262288-47276795,20:47276314-47287284	.	.	20:47262288-47276795|20:47276314-47287284,	.
NM_001281772	20:47224317-47239138,20:47262288-47276795,20:47276314-47287284	.	.	20:47262288-47276795|20:47276314-47287284,	.
NM_001281773	20:47224317-47239138,20:47262288-47276795,20:47276314-47287284	.	.	20:47262288-47276795|20:47276314-47287284,	.
NM_133330	4:1900626-1904378,4:1900626-1918623,4:1900626-1930770,4:1900626-1935262,4:1900626-1939778,4:1974863-1976679	4:1900626-1939778|4:1900626-1918623|4:1900626-1935262|4:1900626-1930770|4:1900626-1904378,	.	.	.
NM_133331	4:1900626-1904378,4:1900626-1918623,4:1900626-1930770,4:1900626-1935262,4:1900626-1939778,4:1974863-1976679	4:1900626-1939778|4:1900626-1918623|4:1900626-1935262|4:1900626-1930770|4:1900626-1904378,	.	.	.
NM_001167621	22:45689712-45702847,22:45689712-45718493,22:45689712-45729590,22:45689712-45740538,22:45700282-45740538,22:45729425-45740538	22:45689712-45702847|22:45689712-45740538|22:45689712-45729590|22:45689712-45718493,	22:45689712-45740538|22:45729425-45740538|22:45700282-45740538,	22:45689712-45702847|22:45700282-45740538,22:45689712-45718493|22:45700282-45740538,22:45729425-45740538|22:45689712-45729590|22:45700282-45740538,	.
NM_133334	4:1900626-1904378,4:1900626-1918623,4:1900626-1930770,4:1900626-1935262,4:1900626-1939778	4:1900626-1939778|4:1900626-1918623|4:1900626-1935262|4:1900626-1930770|4:1900626-1904378,	.	.	.
NM_133335	4:1900626-1904378,4:1900626-1918623,4:1900626-1930770,4:1900626-1935262,4:1900626-1939778,4:1974863-1976679	4:1900626-1939778|4:1900626-1918623|4:1900626-1935262|4:1900626-1930770|4:1900626-1904378,	.	.	.
NM_198920	6:82957312-83044659	.	.	.	.
NM_002111	4:3086939-3107423	.	.	.	.
NR_029410	9:85822880-85849543	.	.	.	.
NM_139070	5:180261684-180280608	.	.	.	.
NR_024188	2:48451008-48465642,2:48498493-48511468	.	.	.	.
NM_006874	4:139060324-139073567	.	.	.	.
NM_001145154	1:224952670-224968874,1:224952670-224974153,1:224952670-225007544,1:224952670-225023865	1:224952670-225023865|1:224952670-225007544|1:224952670-224968874|1:224952670-224974153,	.	.	.
NM_001293285	12:49460770-49490731	.	.	.	.
NR_024181	19:51860904-51877377,19:51877282-51880877	.	.	19:51877282-51880877|19:51860904-51877377,	.
NM_017426	4:76134175-76144473	.	.	.	.
NM_001286658	13:75326197-75349302	.	.	.	.
NM_001286659	13:75326197-75349302	.	.	.	.
NM_020808	1:232513857-232515608	.	.	.	.
NM_198076	1:244843135-244848856	.	.	.	.
NM_001195470	3:18378170-18420991,3:18415111-18420991	.	3:18378170-18420991|3:18415111-18420991,	.	.
NM_001040402	4:51863437-51877854,4:51863437-51891851	4:51863437-51891851|4:51863437-51877854,	.	.	.
NM_145647	8:123077111-123144855,8:123126056-123144855	.	8:123077111-123144855|8:123126056-123144855,	.	.
NM_006567	6:5368550-5369182	.	.	.	.
NM_006565	16:67610824-67612121	.	.	.	.
NM_001145088	8:123077111-123144855,8:123126056-123144855	.	8:123077111-123144855|8:123126056-123144855,	.	.
NM_145176	6:134028381-134029721	.	.	.	.
NM_005465	1:243545510-243843282,1:243613671-243695716,1:243613671-243843282	1:243613671-243843282|1:243613671-243695716,	1:243545510-243843282|1:243613671-243843282,	.	1:243545510-243843282|1:243613671-243695716,
NM_201999	4:139060324-139073567	.	.	.	.
NM_014089	13:25307806-25321093	.	.	.	.
NM_003600	20:56381433-56386533	.	.	.	.
NM_003601	4:143543509-143543972	.	.	.	.
NM_001128174	4:114619423-114623702	.	.	.	.
NM_003607	1:227139576-227147559,1:227193786-227317246	.	.	.	.
NM_001290228	5:66605156-66788794	.	.	.	.
NM_177937	9:86033282-86036507	.	.	.	.
NM_001197237	6:26385015-26388294	.	.	.	.
NM_001197238	6:26385015-26388294	.	.	.	.
NM_005862	3:136398749-136502779,3:136464881-136502779	.	3:136464881-136502779|3:136398749-136502779,	.	.
NM_014887	13:32517857-32527532	.	.	.	.
NM_015208	18:9182382-9221999	.	.	.	.
NM_005607	8:140846260-140890769	.	.	.	.
NM_032233	14:99458279-99465813	.	.	.	.
NM_032239	4:128074460-128077962	.	.	.	.
NM_032581	7:22960256-22991139	.	.	.	.
NM_023071	12:49460770-49490731	.	.	.	.
NM_023073	5:37243013-37247745	.	.	.	.
NM_004555	16:68121987-68123121,16:68121987-68126610,16:68121987-68158068,16:68121987-68191775	16:68121987-68123121|16:68121987-68191775|16:68121987-68158068|16:68121987-68126610,	.	.	.
NM_015332	7:44425900-44427703	.	.	.	.
NM_015335	12:116230433-116237705,12:116230533-116237705	.	12:116230433-116237705|12:116230533-116237705,	.	.
NM_015113	17:4066447-4072756	.	.	.	.
NM_015447	9:135850137-135883078,9:135881633-135883078	.	9:135850137-135883078|9:135881633-135883078,	.	.
NM_001006600	5:65988635-66014725	.	.	.	.
NM_152896	9:6420912-6434173	.	.	.	.
NM_152546	5:122019260-122020802	.	.	.	.
NM_014426	20:17947486-17957037	.	.	.	.
NM_001048166	1:47280241-47282459	.	.	.	.
NM_005734	11:33286413-33287511	.	.	.	.
NM_001127716	15:76274412-76295737	.	.	.	.
NM_176869	4:105424196-105456745	.	.	.	.
NM_001109662	12:112203636-112228811	.	.	.	.
NM_176866	4:105424196-105456745	.	.	.	.
NM_001307922	4:183646488-183655961	.	.	.	.
NM_021629	3:179413412-179419505	.	.	.	.
NM_001018037	9:77214329-77227485	.	.	.	.
NM_001746	5:179705679-179710065	.	.	.	.
NM_001293	11:77619606-77625818,11:77619606-77629899	11:77619606-77625818|11:77619606-77629899,	.	.	.
NR_002982	11:2951259-2979237	.	.	.	.
NM_016019	7:139398599-139409654	.	.	.	.
NR_036057	1:23030469-23050520	.	.	.	.
NM_001018039	10:7243558-7285954,10:7276892-7285954,10:7363878-7381949	.	10:7276892-7285954|10:7243558-7285954,	.	.
NM_001018038	9:77214329-77227485	.	.	.	.
NR_036633	20:58438945-58441083	.	.	.	.
NM_206886	1:93183360-93192106,1:93221609-93264901	.	.	.	.
NM_022079	10:67988663-68014186	.	.	.	.
NM_001282529	9:33953285-33963791,9:33986760-34017189	.	.	.	.
NM_001267594	12:48083591-48098124	.	.	.	.
NM_022073	14:33925618-33931215	.	.	.	.
NM_001114394	5:79640851-79669028	.	.	.	.
NR_026778	1:244843135-244848856	.	.	.	.
NM_001277078	5:79439010-79457018	.	.	.	.
NM_001280541	3:129476315-129478218	.	.	.	.
NM_001258272	14:63598756-63599973	.	.	.	.
NM_001903	5:138810038-138827718	.	.	.	.
NM_001284259	10:89751346-89762835	.	.	.	.
NM_133433	5:36953618-36976402	.	.	.	.
NM_174916	15:42950262-42966286	.	.	.	.
NM_001128144	2:189791790-189818180	.	.	.	.
NM_001128143	2:189791790-189818180	.	.	.	.
NM_001168344	6:7176655-7189322	.	.	.	.
NM_001146189	18:74630967-74641122	.	.	.	.
NM_030755	14:51243856-51249765	.	.	.	.
NM_016341	10:94030683-94032252	.	.	.	.
NM_001634	6:110887505-110890356	.	.	.	.
NM_001281301	15:69436138-69436722	.	.	.	.
NM_001169123	X:148661908-148662768	.	.	.	.
NM_001201549	1:110345539-110372346	.	.	.	.
NM_001201548	1:110345539-110372346	.	.	.	.
NM_004087	3:197104903-197119530	.	.	.	.
NM_004086	14:30877572-30880734	.	.	.	.
NM_001201545	1:110345539-110372346	.	.	.	.
NM_021639	1:45634096-45660377	.	.	.	.
NM_032825	19:36626130-36627546	.	.	.	.
NM_019903	10:110124017-110130486	.	.	.	.
NM_002735	7:677229-711527	.	.	.	.
NM_001281781	20:47224317-47239138,20:47262288-47276795,20:47276314-47287284	.	.	20:47262288-47276795|20:47276314-47287284,	.
NM_001281780	20:47224317-47239138,20:47262288-47276795,20:47276314-47287284	.	.	20:47262288-47276795|20:47276314-47287284,	.
NM_001281783	20:47224317-47239138,20:47262288-47276795,20:47276314-47287284	.	.	20:47262288-47276795|20:47276314-47287284,	.
NM_001281782	20:47224317-47239138,20:47262288-47276795,20:47276314-47287284	.	.	20:47262288-47276795|20:47276314-47287284,	.
NM_000436	5:41794003-41807438	.	.	.	.
NM_001281784	20:47224317-47239138,20:47262288-47276795,20:47276314-47287284	.	.	20:47262288-47276795|20:47276314-47287284,	.
NM_006828	6:100715462-100767345,6:100798713-100805880	.	.	.	.
NM_001121	10:110124017-110130486	.	.	.	.
NM_001135590	19:51860904-51877377,19:51877282-51880877	.	.	19:51877282-51880877|19:51860904-51877377,	.
NM_007357	1:230663141-230671640,1:230663141-230675124	1:230663141-230675124|1:230663141-230671640,	.	.	.
NM_020690	5:140485589-140505869	.	.	.	.
NM_020123	10:96544076-96565426	.	.	.	.
NM_020121	13:95970112-95996135,13:95970112-95999307	13:95970112-95999307|13:95970112-95996135,	.	.	.
NM_181336	6:33776954-33786774	.	.	.	.
NM_144497	6:151348711-151353752	.	.	.	.
NR_103517	12:123210056-123226028	.	.	.	.
NR_040722	20:35707120-35725155,20:35713019-35725155,20:35714185-35725155,20:35721740-35725155	.	20:35714185-35725155|20:35713019-35725155|20:35721740-35725155|20:35707120-35725155,	.	.
NM_017691	15:70919050-70984257	.	.	.	.
NR_024448	22:23683725-23695517	.	.	.	.
NM_003852	7:138519189-138551180	.	.	.	.
NM_017988	12:100282943-100298175	.	.	.	.
NM_025083	15:74655733-74675142,15:74671455-74675142	.	15:74655733-74675142|15:74671455-74675142,	.	.
NM_001288576	6:119002899-119020159	.	.	.	.
NM_001243747	11:43326507-43335994	.	.	.	.
NM_139068	5:180261684-180280608	.	.	.	.
NM_139069	5:180261684-180280608	.	.	.	.
NM_001293725	18:26315229-26357794	.	.	.	.
NM_003453	13:20051433-20067390	.	.	.	.
NM_001286646	8:141253989-141254629	.	.	.	.
NR_028394	1:231795242-231818517	.	.	.	.
NM_013254	12:64460189-64474390	.	.	.	.
NR_028396	1:231795242-231818517	.	.	.	.
NR_028397	1:231795242-231818517	.	.	.	.
NR_028398	1:231795242-231818517	.	.	.	.
NM_001291494	10:15592225-15608290	.	.	.	.
NM_182914	14:63998914-64022863	.	.	.	.
NM_182916	3:3137260-3144710	.	.	.	.
NM_139283	12:110545880-110551968	.	.	.	.
NR_125822	8:89722015-89725641	.	.	.	.
NM_006002	13:75560753-75569507	.	.	.	.
NM_003074	3:47701278-47729094	.	.	.	.
NM_001303489	10:49915917-49935142	.	.	.	.
NM_001303487	10:49915917-49935142	.	.	.	.
NM_001303486	10:49915917-49935142	.	.	.	.
NM_001297548	5:43161249-43161931	.	.	.	.
NM_005923	6:136669283-136698682,6:136694140-136698682,6:136694140-136720589	6:136694140-136720589|6:136694140-136698682,	6:136694140-136698682|6:136669283-136698682,	6:136694140-136720589|6:136669283-136698682,	.
NM_005922	6:161034259-161049979,6:161048616-161049979	.	6:161034259-161049979|6:161048616-161049979,	.	.
NM_001257069	4:152411303-152412529	.	.	.	.
NM_001173128	1:28742403-28743986	.	.	.	.
NM_032134	17:76287192-76304941	.	.	.	.
NR_104256	10:45639816-45663842	.	.	.	.
NM_018407	8:97805353-97825153	.	.	.	.
NM_024666	15:67226901-67236820,15:67231814-67236820	.	15:67226901-67236820|15:67231814-67236820,	.	.
NM_005631	7:129205203-129206587	.	.	.	.
NM_001190964	13:20051433-20067390	.	.	.	.
NM_001190965	13:20051433-20067390	.	.	.	.
NM_152715	11:121045674-121060085	.	.	.	.
NM_032221	20:41512846-41551360,20:41533050-41551360	.	20:41512846-41551360|20:41533050-41551360,	.	.
NM_001252613	2:71355719-71380565,2:71396141-71418639	.	.	.	.
NM_001252612	2:71355719-71380565,2:71396141-71418639	.	.	.	.
NM_001020658	1:30992390-30995220,1:30992390-31007099,1:30992390-31007102	1:30992390-30995220|1:30992390-31007102|1:30992390-31007099,	.	.	.
NM_001172221	1:41070595-41075451,1:41113283-41143112	.	.	.	.
NM_001172220	1:41070595-41075451,1:41113283-41143112	.	.	.	.
NM_014180	5:154950821-154967237	.	.	.	.
NR_027862	2:171925537-171979363	.	.	.	.
NR_026590	6:4891713-4892379	.	.	.	.
NM_018248	4:177353308-177360677	.	.	.	.
NM_013438	9:83677727-83686155	.	.	.	.
NM_015106	3:51541498-51627754	.	.	.	.
NM_001308028	5:108867767-108883518	.	.	.	.
NM_014452	6:47283938-47286595	.	.	.	.
NM_014458	1:173733713-173734286,1:173751764-173757159	.	.	.	.
NM_001166104	4:148435104-148436862	.	.	.	.
NM_001278792	7:74239938-74249220	.	.	.	.
NM_001278793	7:74239938-74249220	.	.	.	.
NM_183227	6:57193842-57210445	.	.	.	.
NM_001278791	7:74239938-74249220	.	.	.	.
NM_015210	18:8714139-8720496,18:8718424-8720496	.	18:8718424-8720496|18:8714139-8720496,	.	.
NR_039973	1:15872816-15922349	.	.	.	.
NR_027264	16:74451055-74459789	.	.	.	.
NM_005493	6:13632370-13644729,6:13639563-13644729	.	6:13639563-13644729|6:13632370-13644729,	.	.
NR_122106	2:63404048-63439871,2:63433745-63439871	.	2:63404048-63439871|2:63433745-63439871,	.	.
NM_001283044	14:35595634-35635598	.	.	.	.
NM_005147	16:4441375-4455780	.	.	.	.
NM_024692	2:29121374-29145367	.	.	.	.
NM_001283043	14:35595634-35635598	.	.	.	.
NM_001301098	11:130260856-130261929	.	.	.	.
NM_001301099	11:130260856-130261929	.	.	.	.
NM_022041	16:81351583-81377702	.	.	.	.
NM_001301700	1:44284835-44339322,1:44308310-44339316,1:44308310-44339322	1:44308310-44339316|1:44308310-44339322,	1:44284835-44339322|1:44308310-44339322,	.	1:44284835-44339322|1:44308310-44339316,
